msg,ts,sample
HIGHRES_IMU,187838356,-10.1207
HIGHRES_IMU,187845302,-10.1213
HIGHRES_IMU,187852422,-10.1220
HIGHRES_IMU,187866193,-10.1235
HIGHRES_IMU,187873136,-10.1242
HIGHRES_IMU,187880159,-10.1250
HIGHRES_IMU,187887026,-10.1258
HIGHRES_IMU,187900841,-10.1306
HIGHRES_IMU,187907854,-10.1293
HIGHRES_IMU,187914766,-10.1306
HIGHRES_IMU,187921740,-10.1318
HIGHRES_IMU,187935587,-10.1343
HIGHRES_IMU,187942761,-10.1356
HIGHRES_IMU,187949517,-10.1357
HIGHRES_IMU,187963472,-10.1394
HIGHRES_IMU,187970363,-10.1407
HIGHRES_IMU,187977299,-10.1419
HIGHRES_IMU,187984278,-10.1431
HIGHRES_IMU,187998189,-10.1442
HIGHRES_IMU,188005170,-10.1426
HIGHRES_IMU,188012087,-10.1439
HIGHRES_IMU,188019161,-10.1441
HIGHRES_IMU,188032889,-10.1462
HIGHRES_IMU,188039828,-10.1454
HIGHRES_IMU,188046741,-10.1443
HIGHRES_IMU,188053672,-10.1433
HIGHRES_IMU,188067581,-10.1412
HIGHRES_IMU,188074640,-10.1401
HIGHRES_IMU,188081554,-10.1391
HIGHRES_IMU,188088611,-10.1381
HIGHRES_IMU,188095476,-10.1371
HIGHRES_IMU,188109263,-10.1350
HIGHRES_IMU,188116375,-10.1340
HIGHRES_IMU,188123141,-10.1330
HIGHRES_IMU,188137027,-10.1310
HIGHRES_IMU,188143964,-10.1300
HIGHRES_IMU,188150921,-10.1290
HIGHRES_IMU,188164801,-10.1282
HIGHRES_IMU,188171841,-10.1260
HIGHRES_IMU,188178763,-10.1251
HIGHRES_IMU,188185759,-10.1241
HIGHRES_IMU,188199679,-10.1222
HIGHRES_IMU,188206548,-10.1212
HIGHRES_IMU,188213476,-10.1203
HIGHRES_IMU,188220371,-10.1180
HIGHRES_IMU,188234264,-10.1174
HIGHRES_IMU,188241178,-10.1165
HIGHRES_IMU,188248136,-10.1156
HIGHRES_IMU,188262040,-10.1132
HIGHRES_IMU,188269054,-10.1132
HIGHRES_IMU,188276155,-10.1119
HIGHRES_IMU,188283146,-10.1110
HIGHRES_IMU,188296831,-10.1092
HIGHRES_IMU,188303738,-10.1083
HIGHRES_IMU,188310699,-10.1073
HIGHRES_IMU,188317593,-10.1065
HIGHRES_IMU,188331479,-10.1047
HIGHRES_IMU,188338384,-10.1038
HIGHRES_IMU,188345380,-10.1029
HIGHRES_IMU,188352320,-10.1020
HIGHRES_IMU,188366159,-10.1003
HIGHRES_IMU,188373166,-10.0995
HIGHRES_IMU,188380183,-10.0986
HIGHRES_IMU,188387061,-10.0978
HIGHRES_IMU,188400918,-10.0960
HIGHRES_IMU,188407896,-10.0952
HIGHRES_IMU,188414937,-10.0944
HIGHRES_IMU,188428701,-10.0927
HIGHRES_IMU,188435637,-10.0919
HIGHRES_IMU,188442645,-10.0911
HIGHRES_IMU,188456508,-10.0894
HIGHRES_IMU,188463435,-10.0886
HIGHRES_IMU,188470408,-10.0878
HIGHRES_IMU,188477364,-10.0870
HIGHRES_IMU,188491208,-10.0854
HIGHRES_IMU,188498156,-10.0825
HIGHRES_IMU,188505132,-10.0859
HIGHRES_IMU,188512030,-10.0830
HIGHRES_IMU,188525955,-10.0815
HIGHRES_IMU,188532956,-10.0807
HIGHRES_IMU,188539890,-10.0799
HIGHRES_IMU,188553806,-10.0784
HIGHRES_IMU,188560772,-10.0777
HIGHRES_IMU,188567660,-10.0769
HIGHRES_IMU,188581590,-10.0754
HIGHRES_IMU,188588425,-10.0746
HIGHRES_IMU,188595372,-10.0739
HIGHRES_IMU,188602418,-10.0732
HIGHRES_IMU,188616211,-10.0717
HIGHRES_IMU,188623207,23.7424
HIGHRES_IMU,188630103,23.5040
HIGHRES_IMU,188637062,-4.1432
HIGHRES_IMU,188650951,-10.9405
HIGHRES_IMU,188657924,-11.1324
HIGHRES_IMU,188664877,-11.0559
HIGHRES_IMU,188671837,-10.8755
HIGHRES_IMU,188685794,-10.4308
HIGHRES_IMU,188692684,-10.1995
HIGHRES_IMU,188699642,-9.9799
HIGHRES_IMU,188713544,-9.6040
HIGHRES_IMU,188720435,-9.4544
HIGHRES_IMU,188727342,-9.3327
HIGHRES_IMU,188734320,-9.2368
HIGHRES_IMU,188748180,-9.1165
HIGHRES_IMU,188755101,-9.0862
HIGHRES_IMU,188762024,-9.0734
HIGHRES_IMU,188769094,-9.0742
HIGHRES_IMU,188782953,-9.1048
HIGHRES_IMU,188789871,-9.1306
HIGHRES_IMU,188796841,-9.1607
HIGHRES_IMU,188803757,-9.1924
HIGHRES_IMU,188817708,-9.2551
HIGHRES_IMU,188824644,-9.2837
HIGHRES_IMU,188831518,-9.3095
HIGHRES_IMU,188838442,-9.3318
HIGHRES_IMU,188852335,-9.3648
HIGHRES_IMU,188859317,-9.3770
HIGHRES_IMU,188866209,-9.3847
HIGHRES_IMU,188880086,-9.3920
HIGHRES_IMU,188887109,-9.3920
HIGHRES_IMU,188894059,-9.3903
HIGHRES_IMU,188900963,-9.3873
HIGHRES_IMU,188914922,-9.3788
HIGHRES_IMU,188921849,-9.3740
HIGHRES_IMU,188928794,-9.3690
HIGHRES_IMU,188942612,-9.3600
HIGHRES_IMU,188949568,-9.3562
HIGHRES_IMU,188956530,-9.3527
HIGHRES_IMU,188963492,-9.3501
HIGHRES_IMU,188977305,-9.3463
HIGHRES_IMU,188984256,-9.3449
HIGHRES_IMU,188991212,-9.3443
HIGHRES_IMU,188998160,-9.3439
HIGHRES_IMU,189005118,-9.3440
HIGHRES_IMU,189019024,-9.3451
HIGHRES_IMU,189025954,-9.3452
HIGHRES_IMU,189033159,-9.3461
HIGHRES_IMU,189046806,-9.3471
HIGHRES_IMU,189053763,-9.3484
HIGHRES_IMU,189060678,-9.3491
HIGHRES_IMU,189067652,-9.3492
HIGHRES_IMU,189081501,-9.3504
HIGHRES_IMU,189088457,-9.3507
HIGHRES_IMU,189095408,-9.3511
HIGHRES_IMU,189102419,-9.3517
HIGHRES_IMU,189116297,-9.3516
HIGHRES_IMU,189123242,-9.3515
HIGHRES_IMU,189130102,-9.3510
HIGHRES_IMU,189137320,-9.3519
HIGHRES_IMU,189151000,-9.3511
HIGHRES_IMU,189158059,-9.3510
HIGHRES_IMU,189164863,-9.3510
HIGHRES_IMU,189171904,-9.3508
HIGHRES_IMU,189185667,-9.3507
HIGHRES_IMU,189192602,-9.3506
HIGHRES_IMU,189199543,-9.3506
HIGHRES_IMU,189206511,-9.3504
HIGHRES_IMU,189220410,-9.3504
HIGHRES_IMU,189227482,-9.3504
HIGHRES_IMU,189234312,-9.3504
HIGHRES_IMU,189248211,-9.3504
HIGHRES_IMU,189255134,-9.3504
HIGHRES_IMU,189262139,-9.3504
HIGHRES_IMU,189269062,-9.3505
HIGHRES_IMU,189283031,-9.3505
HIGHRES_IMU,189289984,-9.3504
HIGHRES_IMU,189296821,-9.3506
HIGHRES_IMU,189310651,-9.3505
HIGHRES_IMU,189317623,-9.3505
HIGHRES_IMU,189324623,-9.3506
HIGHRES_IMU,189331498,-9.3505
HIGHRES_IMU,189345430,-9.3505
HIGHRES_IMU,189352372,-9.3506
HIGHRES_IMU,189359305,-9.3505
HIGHRES_IMU,189366244,-9.3506
HIGHRES_IMU,189380161,-9.3505
HIGHRES_IMU,189387071,-9.3506
HIGHRES_IMU,189394039,-9.3506
HIGHRES_IMU,189400958,-9.3506
HIGHRES_IMU,189414911,-9.3506
HIGHRES_IMU,189421789,-9.3505
HIGHRES_IMU,189428712,-9.3505
HIGHRES_IMU,189435688,-9.3505
HIGHRES_IMU,189449549,-9.3505
HIGHRES_IMU,189456540,-9.3505
HIGHRES_IMU,189463532,-9.3505
HIGHRES_IMU,189470483,-9.3505
HIGHRES_IMU,189484337,-9.3505
HIGHRES_IMU,189491306,-9.3505
HIGHRES_IMU,189498269,-9.3505
HIGHRES_IMU,189512114,-9.3505
HIGHRES_IMU,189519024,-9.3505
HIGHRES_IMU,189525988,-9.3505
HIGHRES_IMU,189532923,-9.3505
HIGHRES_IMU,189546814,-9.3505
HIGHRES_IMU,189553803,-9.3505
HIGHRES_IMU,189560701,-9.3505
HIGHRES_IMU,189574587,-9.3505
HIGHRES_IMU,189581512,-9.3505
HIGHRES_IMU,189588478,-9.3505
HIGHRES_IMU,189595449,-9.3505
HIGHRES_IMU,189609329,-9.3505
HIGHRES_IMU,189616482,-9.3505
HIGHRES_IMU,189623246,-9.3505
HIGHRES_IMU,189630181,-9.3505
HIGHRES_IMU,189644275,-9.3505
HIGHRES_IMU,189651064,-9.3505
HIGHRES_IMU,189657966,-9.3505
HIGHRES_IMU,189671880,-9.3505
HIGHRES_IMU,189678830,-9.3505
HIGHRES_IMU,189685749,-9.3505
HIGHRES_IMU,189692833,-9.3505
HIGHRES_IMU,189706655,-9.3505
HIGHRES_IMU,189713554,-9.3504
HIGHRES_IMU,189720433,-9.3505
HIGHRES_IMU,189727498,-9.3505
HIGHRES_IMU,189741328,-9.3505
HIGHRES_IMU,189748218,-9.3505
HIGHRES_IMU,189755431,-9.3505
HIGHRES_IMU,189769059,-9.3505
HIGHRES_IMU,189776050,-9.3505
HIGHRES_IMU,189783023,-9.3505
HIGHRES_IMU,189789934,-9.3505
HIGHRES_IMU,189803867,-9.3505
HIGHRES_IMU,189810770,-9.3505
HIGHRES_IMU,189817687,-9.3505
HIGHRES_IMU,189824649,-9.3504
HIGHRES_IMU,189838693,-9.3504
HIGHRES_IMU,189845639,-9.3505
HIGHRES_IMU,189852453,-9.3505
HIGHRES_IMU,189859402,-9.3505
HIGHRES_IMU,189873375,-9.3505
HIGHRES_IMU,189880263,-9.3504
HIGHRES_IMU,189887222,-9.3505
HIGHRES_IMU,189894165,-9.3505
HIGHRES_IMU,189908119,-9.3504
HIGHRES_IMU,189915009,-9.3504
HIGHRES_IMU,189921913,-9.3505
HIGHRES_IMU,189935819,-9.3505
HIGHRES_IMU,189942783,-9.3505
HIGHRES_IMU,189949686,-9.3504
HIGHRES_IMU,189956624,-9.3505
HIGHRES_IMU,189970499,-9.3504
HIGHRES_IMU,189977490,-9.3505
HIGHRES_IMU,189984371,-9.3504
HIGHRES_IMU,189998299,-9.3505
HIGHRES_IMU,190005257,-9.3504
HIGHRES_IMU,190012374,-9.3504
HIGHRES_IMU,190019110,-9.3504
HIGHRES_IMU,190026041,-9.3505
HIGHRES_IMU,190039995,-9.3505
HIGHRES_IMU,190046981,-9.3504
HIGHRES_IMU,190053978,-9.3504
HIGHRES_IMU,190060812,-9.3504
HIGHRES_IMU,190074738,-9.3504
HIGHRES_IMU,190081619,-9.3504
HIGHRES_IMU,190088575,-9.3504
HIGHRES_IMU,190095492,-9.3504
HIGHRES_IMU,190109399,-9.3504
HIGHRES_IMU,190116407,-9.3505
HIGHRES_IMU,190123352,-9.3504
HIGHRES_IMU,190130231,-9.3505
HIGHRES_IMU,190144123,-9.3504
HIGHRES_IMU,190151036,-9.3504
HIGHRES_IMU,190157983,-9.3505
HIGHRES_IMU,190171908,-9.3504
HIGHRES_IMU,190178886,-9.3504
HIGHRES_IMU,190185838,-9.3504
HIGHRES_IMU,190192917,-9.3504
HIGHRES_IMU,190206650,-9.3504
HIGHRES_IMU,190213665,-9.3504
HIGHRES_IMU,190220531,-9.3504
