wall_s,phase,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw,gyro_x,gyro_y,gyro_z,acc_z
1784786916.1442,roll_pos,0.27,1.5,0,0,-4.124026775360107,2.6226043701171875e-06,-9.5367431640625e-07,-10.172083854675293
1784786916.1649,roll_pos,0.27,1.5,0,0,-4.1466288566589355,3.0994415283203125e-06,-7.152557373046875e-07,-10.309131622314453
1784786916.1851,roll_pos,0.27,1.5,0,0,-4.160523414611816,2.1457672119140625e-06,-7.152557373046875e-07,-10.364875793457031
1784786916.2054,roll_pos,0.27,1.5,0,0,-4.168886184692383,1.6689300537109375e-06,-9.5367431640625e-07,-10.385978698730469
1784786916.2257,roll_pos,0.27,1.5,0,0,-4.180543899536133,2.86102294921875e-06,-9.5367431640625e-07,-10.398748397827148
1784786916.2460,roll_pos,0.27,1.5,0,0,-4.191188335418701,2.86102294921875e-06,-9.5367431640625e-07,-10.393987655639648
1784786916.2664,roll_pos,0.27,1.5,0,0,-4.200782299041748,1.430511474609375e-06,-1.9073486328125e-06,-10.347249984741211
1784786916.2867,roll_pos,0.27,1.5,0,0,-4.212060451507568,0.0,2.384185791015625e-07,-10.332945823669434
1784786916.3069,roll_pos,0.27,1.5,0,0,-4.217111110687256,9.5367431640625e-07,-0.0,-10.305747032165527
1784786916.3276,roll_pos,0.27,1.5,0,0,-4.221814155578613,1.6689300537109375e-06,-7.152557373046875e-07,-10.274507522583008
1784786916.3479,roll_pos,0.27,1.5,0,0,-4.230267524719238,1.1920928955078125e-06,-7.152557373046875e-07,-10.201872825622559
1784786916.3681,roll_pos,0.27,1.5,0,0,-4.235857009887695,1.6689300537109375e-06,-2.384185791015625e-07,-10.139482498168945
1784786916.3883,roll_pos,0.27,1.5,0,0,-4.239265441894531,1.1920928955078125e-06,-4.76837158203125e-07,-10.094428062438965
1784786916.4087,roll_pos,0.27,1.5,0,0,-6.826578140258789,7.935833930969238,-13.01232624053955,-13.366458892822266
1784786916.4290,roll_pos,0.27,1.5,0,0,-5.39518928527832,4.299371242523193,-11.08090591430664,-18.658029556274414
1784786916.4495,roll_pos,0.27,1.5,0,0,-4.328155517578125,-0.43564748764038086,-7.942770957946777,-23.196632385253906
1784786916.4698,roll_pos,0.27,1.5,0,0,-3.579770565032959,-1.3039069175720215,-3.4864726066589355,-28.266578674316406
1784786916.4900,roll_pos,0.27,1.5,0,0,-3.588542938232422,-0.9062955379486084,-1.4426512718200684,-29.578899383544922
1784786916.5103,roll_pos,0.27,1.5,0,0,-4.278958797454834,-0.3875880241394043,1.1356158256530762,-11.113594055175781
1784786916.5305,neutral,0.27,0,0,0,-4.396183967590332,-0.08896631002426147,1.3599796295166016,-4.025296211242676
1784786916.5509,neutral,0.27,0,0,0,-8.623575210571289,2.479424476623535,-3.8839054107666016,20.027912139892578
1784786916.5712,neutral,0.27,0,0,0,-6.584970951080322,4.428587436676025,-5.949429035186768,-4.344128608703613
1784786916.5915,neutral,0.27,0,0,0,2.0928964614868164,6.284628868103027,-3.7179555892944336,-23.59491539001465
1784786916.6117,neutral,0.27,0,0,0,-1.1011817455291748,7.251992225646973,-2.5612993240356445,13.408147811889648
1784786916.6321,neutral,0.27,0,0,0,0.5274534225463867,10.778226852416992,-2.2966878414154053,-1.6131482124328613
1784786916.6524,neutral,0.27,0,0,0,0.36322081089019775,-1.3680976629257202,0.5294720530509949,-13.191497802734375
1784786916.6728,neutral,0.27,0,0,0,-0.00037735700607299805,1.1717376708984375,0.43681272864341736,0.6277397274971008
1784786916.6931,neutral,0.27,0,0,0,0.000529170036315918,1.6133899688720703,0.1315205693244934,9.344979286193848
1784786916.7136,neutral,0.27,0,0,0,0.011003249324858189,-0.01803981512784958,0.04300189018249512,10.057859420776367
1784786916.7338,neutral,0.27,0,0,0,0.005406612064689398,-0.01540723443031311,0.03404327109456062,9.836307525634766
1784786916.7540,neutral,0.27,0,0,0,0.004434491507709026,-0.015143151395022869,0.032204803079366684,9.8056058883667
1784786916.7743,neutral,0.27,0,0,0,0.005013986490666866,-0.016933105885982513,0.035661276429891586,9.797443389892578
1784786916.7945,neutral,0.27,0,0,0,0.005464910063892603,-0.017897887155413628,0.03801056370139122,9.798660278320312
1784786916.8148,neutral,0.27,0,0,0,0.00630147336050868,-0.01907399296760559,0.04138217866420746,9.79771614074707
1784786916.8352,neutral,0.27,0,0,0,0.00681694783270359,-0.01961320824921131,0.043155498802661896,9.79995059967041
1784786916.8556,neutral,0.27,0,0,0,0.00805986113846302,-0.02000451646745205,0.046729300171136856,9.802504539489746
1784786916.8760,neutral,0.27,0,0,0,0.009178117848932743,0.010514230467379093,0.001638211659155786,10.158439636230469
1784786916.8965,neutral,0.27,0,0,0,0.00010862515773624182,0.00029242850723676383,3.1186627893475816e-05,9.81522274017334
1784786916.9167,neutral,0.27,0,0,0,0.0003117478918284178,-0.0003018623392563313,-0.00014499403187073767,9.810440063476562
1784786916.9369,neutral,0.27,0,0,0,-7.489609288313659e-06,2.0957177184754983e-05,1.6111405784613453e-05,9.809677124023438
1784786916.9572,neutral,0.27,0,0,0,-6.109867626946652e-06,-1.7875560160973691e-06,1.0304857823939528e-05,9.809874534606934
1784786916.9774,neutral,0.27,0,0,0,4.027171144116437e-06,6.927878530404996e-06,4.4774392335966695e-06,9.809952735900879
1784786916.9976,neutral,0.27,0,0,0,-3.0803689696767833e-06,1.1019355952157639e-05,4.177851224085316e-06,9.810147285461426
1784786917.0181,neutral,0.27,0,0,0,2.640694219735451e-06,-1.5582370451738825e-06,4.834997753278003e-07,9.810088157653809
1784786917.0383,neutral,0.27,0,0,0,-4.715172508440446e-06,9.014121133077424e-06,1.7832200001066667e-06,9.810100555419922
1784786917.0586,neutral,0.27,0,0,0,3.8074967960710637e-06,-3.394690793356858e-06,-5.876374302715703e-07,9.809869766235352
1784786917.0788,neutral,0.27,0,0,0,9.96060134639265e-06,-2.0180827959848102e-06,-7.177763450272323e-07,9.80974006652832
1784786917.0992,neutral,0.27,0,0,0,-4.744160378322704e-06,2.6423924737173365e-06,3.536443671237066e-07,9.810060501098633
1784786917.1194,neutral,0.27,0,0,0,1.355984750261996e-06,4.38894858234562e-06,3.401244157430483e-07,9.810200691223145
1784786917.1398,neutral,0.27,0,0,0,1.0376631962571992e-06,4.5078359107719734e-06,4.5752776145491225e-07,9.80993366241455
1784786917.1601,neutral,0.27,0,0,0,1.193873231386533e-06,4.481581527215894e-06,4.007778784398397e-07,9.80999755859375
1784786917.1805,neutral,0.27,0,0,0,1.4381491837411886e-06,4.142022589803673e-06,2.217101240375996e-07,9.810131072998047
1784786917.2007,neutral,0.27,0,0,0,-4.4197868191986345e-06,2.229670599263045e-06,1.203061401611194e-07,9.810063362121582
1784786917.2210,neutral,0.27,0,0,0,-4.3846803237101994e-06,2.286313929289463e-06,9.385386334770374e-08,9.81006145477295
1784786917.2411,neutral,0.27,0,0,0,7.946793630253524e-06,1.4087039744481444e-05,-1.1903458698725444e-06,9.810164451599121
1784786917.2613,neutral,0.27,0,0,0,1.2154105206718668e-06,4.389832611195743e-06,3.516533979563974e-07,9.809998512268066
1784786917.2815,neutral,0.27,0,0,0,1.2739706107822713e-06,4.408419044921175e-06,3.5378891993786965e-07,9.80999755859375
1784786917.3017,neutral,0.27,0,0,0,1.0347666830057278e-05,-2.759744802460773e-06,-1.0968808510369854e-06,9.809736251831055
1784786917.3220,neutral,0.27,0,0,0,-4.404150786285754e-06,2.2042993350623874e-06,9.663191491426915e-08,9.810068130493164
1784786917.3423,roll_neg,0.27,-1.5,0,0,1.4829900010226993e-06,4.239672307448927e-06,1.8401834722681087e-07,9.810200691223145
1784786917.3626,roll_neg,0.27,-1.5,0,0,-2.2620173695031554e-05,4.809261008631438e-05,2.81422289845068e-05,9.80928897857666
1784786917.3833,roll_neg,0.27,-1.5,0,0,-6.0237500292714685e-05,0.00013273236982058734,8.371840522158891e-05,9.810028076171875
1784786917.4036,roll_neg,0.27,-1.5,0,0,0.00020290435350034386,-0.00018063679453916848,-4.346145942690782e-05,9.808744430541992
1784786917.4239,roll_neg,0.27,-1.5,0,0,0.00015378788521047682,-2.368698187638074e-05,2.86805097857723e-05,9.809971809387207
1784786917.4441,roll_neg,0.27,-1.5,0,0,0.00022910271945875138,-0.0001640708651393652,-2.8223283152328804e-05,9.809383392333984
1784786917.4643,roll_neg,0.27,-1.5,0,0,0.00012559854076243937,-5.212204996496439e-06,5.26565381733235e-05,9.80974292755127
