epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,128.264,1.18494,0.76069,0.3016,0.62443,0.99008,0.88222,0.72789,0.84055,0.46762,0.86853,0.84354,0.92937,0.7951,1.31814,0.65911,0.18506,0.64005,1.01259,0.0015248,0.0015248,0.0015248
38,131.465,1.21007,0.71607,0.29937,0.63077,1.00707,0.86894,0.76871,0.85438,0.46815,0.87402,0.8495,0.93749,0.80061,1.3668,0.64407,0.18379,0.63528,1.02741,0.0015116,0.0015116,0.0015116
39,134.643,1.15341,0.64288,0.28954,0.62021,0.97876,0.89158,0.76871,0.87056,0.49334,0.87373,0.86395,0.93435,0.8031,1.2925,0.61597,0.17959,0.63168,1.01511,0.0014984,0.0014984,0.0014984
40,138.116,1.15854,0.62763,0.28827,0.59693,0.99819,0.81368,0.84354,0.88373,0.48799,0.84717,0.90504,0.93979,0.80486,1.31036,0.66426,0.18273,0.64546,1.01694,0.0014852,0.0014852,0.0014852
41,141.765,1.14959,0.67596,0.28358,0.59923,0.99191,0.84637,0.76871,0.84773,0.48507,0.88004,0.83673,0.9257,0.79396,1.30663,0.6324,0.17358,0.65077,1.01519,0.001472,0.001472,0.001472
42,145.053,1.17781,0.64,0.28181,0.61869,1.01149,0.83058,0.7483,0.82554,0.45625,0.83351,0.88547,0.93307,0.80129,1.32944,0.59484,0.17217,0.70243,1.02459,0.0014588,0.0014588,0.0014588
43,148.398,1.14465,0.65338,0.26091,0.61149,1.00446,0.85977,0.80272,0.86941,0.50269,0.82942,0.89309,0.93413,0.80142,1.28512,0.61394,0.17206,0.66182,1.02342,0.0014456,0.0014456,0.0014456
44,151.898,1.1309,0.66573,0.28757,0.58724,1.00468,0.78302,0.78557,0.85219,0.47548,0.87158,0.87722,0.93395,0.79374,1.30415,0.65091,0.16644,0.65559,1.01479,0.0014324,0.0014324,0.0014324
45,155.252,1.16246,0.69362,0.25127,0.60971,0.98523,0.81674,0.75794,0.82671,0.47458,0.8875,0.85714,0.9373,0.81047,1.30751,0.61032,0.15644,0.65327,1.01206,0.0014192,0.0014192,0.0014192
46,158.52,1.13244,0.61392,0.25693,0.58332,0.98099,0.85724,0.7619,0.85917,0.48575,0.90976,0.83673,0.92877,0.80299,1.28784,0.61394,0.15445,0.63351,1.01065,0.001406,0.001406,0.001406
47,161.7,1.13693,0.66067,0.28787,0.58218,1.00119,0.883,0.79592,0.87886,0.49459,0.90373,0.86395,0.94314,0.80635,1.33741,0.64759,0.14953,0.61654,1.03002,0.0013928,0.0013928,0.0013928
48,165.027,1.12603,0.62329,0.24383,0.58006,0.96623,0.86913,0.80272,0.89478,0.49755,0.91772,0.85714,0.95293,0.80158,1.33567,0.66649,0.15636,0.62459,1.02849,0.0013796,0.0013796,0.0013796
49,168.255,1.13025,0.60321,0.24124,0.58752,0.99117,0.82751,0.81633,0.86806,0.51175,0.898,0.89116,0.94937,0.81382,1.25348,0.6194,0.1654,0.60127,0.9999,0.0013664,0.0013664,0.0013664
50,172.031,1.11471,0.6178,0.26811,0.57867,0.98583,0.87963,0.79538,0.89374,0.49163,0.89618,0.86395,0.95065,0.82089,1.26928,0.57172,0.15862,0.60494,1.01124,0.0013532,0.0013532,0.0013532
51,175.582,1.15408,0.62521,0.24967,0.58814,0.97007,0.84104,0.80952,0.86391,0.51114,0.92039,0.86514,0.94935,0.83266,1.24883,0.57422,0.15043,0.61259,1.00198,0.00134,0.00134,0.00134
52,179.131,1.12111,0.58297,0.24556,0.57367,0.97909,0.85977,0.83673,0.87873,0.4902,0.91604,0.8907,0.94788,0.82737,1.2966,0.59204,0.14947,0.62264,1.01904,0.0013268,0.0013268,0.0013268
