nohup: ignoring input
[train] run dir: artifacts/runs/dreamer_small_1784878651
[train] learner device=cuda collector=cuda
[train] seeded replay with 7291 demo transitions from artifacts/demos
[train] prefill to 5000 transitions (random policy) ...
[train] prefill done -> learner + policy collection running
[train] steps=17462 upd=3300 sps=7.9 ups=1.5 wm=2.02 actor=-0.09 ep_r=-18.690000534057617 gate=0 stage=hover
[train] steps=17872 upd=3350 sps=7.9 ups=1.5 wm=1.98 actor=-0.00 ep_r=-18.579999923706055 gate=0 stage=hover
[train] steps=18264 upd=3400 sps=8.0 ups=1.5 wm=2.07 actor=-0.09 ep_r=-18.459999084472656 gate=0 stage=hover
[train] steps=18493 upd=3450 sps=7.9 ups=1.5 wm=1.95 actor=-0.12 ep_r=-20.260000228881836 gate=0 stage=hover
[train] steps=18705 upd=3500 sps=7.9 ups=1.5 wm=2.04 actor=-0.16 ep_r=-19.040000915527344 gate=0 stage=hover
[train] steps=18883 upd=3550 sps=7.9 ups=1.5 wm=2.04 actor=-0.13 ep_r=-20.280000686645508 gate=0 stage=hover
[train] steps=19067 upd=3600 sps=7.9 ups=1.5 wm=2.06 actor=-0.07 ep_r=-18.770000457763672 gate=0 stage=hover
[train] steps=19280 upd=3650 sps=7.8 ups=1.5 wm=2.08 actor=-0.21 ep_r=-20.479999542236328 gate=0 stage=hover
[train] steps=19481 upd=3700 sps=7.8 ups=1.5 wm=1.99 actor=-0.21 ep_r=-19.700000762939453 gate=0 stage=hover
[train] steps=19698 upd=3750 sps=7.8 ups=1.5 wm=1.96 actor=-0.18 ep_r=-20.219999313354492 gate=0 stage=hover
[train] steps=19892 upd=3800 sps=7.8 ups=1.5 wm=2.10 actor=-0.28 ep_r=-20.139999389648438 gate=0 stage=hover
[train] checkpoint -> artifacts/runs/dreamer_small_1784878651/ckpt_20016.pt
[train] steps=20109 upd=3850 sps=7.7 ups=1.5 wm=1.95 actor=-0.30 ep_r=-19.209999084472656 gate=0 stage=hover
[train] steps=20326 upd=3900 sps=7.7 ups=1.5 wm=1.96 actor=-0.41 ep_r=-20.1200008392334 gate=0 stage=hover
[train] steps=20468 upd=3950 sps=7.7 ups=1.5 wm=2.06 actor=-0.27 ep_r=-19.549999237060547 gate=0 stage=hover
[train] steps=20657 upd=4000 sps=7.6 ups=1.5 wm=1.93 actor=-0.29 ep_r=-19.8700008392334 gate=0 stage=hover
[train] steps=20852 upd=4050 sps=7.6 ups=1.5 wm=1.99 actor=-0.46 ep_r=-20.350000381469727 gate=0 stage=hover
[train] steps=21027 upd=4100 sps=7.6 ups=1.5 wm=1.96 actor=-0.28 ep_r=-19.579999923706055 gate=0 stage=hover
[train] steps=21256 upd=4150 sps=7.6 ups=1.5 wm=2.02 actor=-0.33 ep_r=-20.780000686645508 gate=0 stage=hover
[train] steps=21521 upd=4200 sps=7.6 ups=1.5 wm=1.98 actor=-0.28 ep_r=-21.18000030517578 gate=0 stage=hover
[train] steps=21704 upd=4250 sps=7.6 ups=1.5 wm=1.93 actor=-0.40 ep_r=-20.760000228881836 gate=0 stage=hover
[train] steps=21920 upd=4300 sps=7.5 ups=1.5 wm=2.03 actor=-0.17 ep_r=-21.09000015258789 gate=0 stage=hover
[train] steps=22154 upd=4350 sps=7.5 ups=1.5 wm=1.93 actor=-0.14 ep_r=-20.420000076293945 gate=0 stage=hover
[train] steps=22345 upd=4400 sps=7.5 ups=1.5 wm=1.87 actor=-0.17 ep_r=-20.239999771118164 gate=0 stage=hover
[train] steps=22457 upd=4450 sps=7.5 ups=1.5 wm=1.99 actor=-0.13 ep_r=-20.06999969482422 gate=0 stage=hover
[train] steps=22689 upd=4500 sps=7.5 ups=1.5 wm=1.96 actor=0.01 ep_r=-20.059999465942383 gate=0 stage=hover
[train] steps=22982 upd=4550 sps=7.5 ups=1.5 wm=1.83 actor=-0.04 ep_r=-20.030000686645508 gate=0 stage=hover
[train] steps=23121 upd=4600 sps=7.5 ups=1.5 wm=1.89 actor=0.04 ep_r=-20.989999771118164 gate=0 stage=hover
[train] steps=23288 upd=4650 sps=7.4 ups=1.5 wm=2.08 actor=-0.10 ep_r=-20.8799991607666 gate=0 stage=hover
[train] steps=23563 upd=4700 sps=7.4 ups=1.5 wm=1.91 actor=0.07 ep_r=-20.170000076293945 gate=0 stage=hover
[train] steps=23879 upd=4750 sps=7.5 ups=1.5 wm=1.97 actor=-0.05 ep_r=-20.450000762939453 gate=0 stage=hover
[train] steps=24080 upd=4800 sps=7.4 ups=1.5 wm=1.88 actor=-0.07 ep_r=-20.799999237060547 gate=0 stage=hover
[train] steps=24382 upd=4850 sps=7.4 ups=1.5 wm=1.91 actor=0.01 ep_r=-20.6299991607666 gate=0 stage=hover
[train] steps=24684 upd=4900 sps=7.5 ups=1.5 wm=1.92 actor=-0.11 ep_r=-20.270000457763672 gate=0 stage=hover
[train] steps=24982 upd=4950 sps=7.5 ups=1.5 wm=1.99 actor=-0.09 ep_r=-20.190000534057617 gate=0 stage=hover
[train] steps=25336 upd=5000 sps=7.5 ups=1.5 wm=2.01 actor=-0.08 ep_r=-20.15999984741211 gate=0 stage=hover
[train] steps=25640 upd=5050 sps=7.5 ups=1.5 wm=1.87 actor=-0.00 ep_r=-21.010000228881836 gate=0 stage=hover
[train] steps=26013 upd=5100 sps=7.5 ups=1.5 wm=1.93 actor=0.05 ep_r=-22.239999771118164 gate=0 stage=hover
[train] steps=26246 upd=5150 sps=7.5 ups=1.5 wm=1.95 actor=0.05 ep_r=-19.780000686645508 gate=0 stage=hover
[train] steps=26492 upd=5200 sps=7.5 ups=1.5 wm=1.86 actor=-0.00 ep_r=-20.0 gate=0 stage=hover
[train] steps=26786 upd=5250 sps=7.5 ups=1.5 wm=1.89 actor=-0.10 ep_r=-19.649999618530273 gate=0 stage=hover
[train] steps=27079 upd=5300 sps=7.5 ups=1.5 wm=2.04 actor=-0.05 ep_r=-20.399999618530273 gate=0 stage=hover
[train] steps=27308 upd=5350 sps=7.5 ups=1.5 wm=1.91 actor=-0.11 ep_r=-20.239999771118164 gate=0 stage=hover
[train] steps=27540 upd=5400 sps=7.5 ups=1.5 wm=1.93 actor=-0.25 ep_r=-20.079999923706055 gate=0 stage=hover
[train] steps=27775 upd=5450 sps=7.5 ups=1.5 wm=1.95 actor=-0.33 ep_r=-19.0 gate=0 stage=hover
[train] steps=28004 upd=5500 sps=7.5 ups=1.5 wm=1.86 actor=-0.35 ep_r=-19.290000915527344 gate=0 stage=hover
[train] steps=28197 upd=5550 sps=7.5 ups=1.5 wm=1.89 actor=-0.42 ep_r=-18.540000915527344 gate=0 stage=hover
[train] steps=28435 upd=5600 sps=7.5 ups=1.5 wm=1.88 actor=-0.29 ep_r=-18.290000915527344 gate=0 stage=hover
[train] steps=28661 upd=5650 sps=7.5 ups=1.5 wm=1.80 actor=-0.25 ep_r=-18.610000610351562 gate=0 stage=hover
[train] steps=28883 upd=5700 sps=7.5 ups=1.5 wm=1.86 actor=-0.30 ep_r=-20.68000030517578 gate=0 stage=hover
[train] steps=29108 upd=5750 sps=7.5 ups=1.5 wm=1.99 actor=-0.42 ep_r=-17.559999465942383 gate=0 stage=hover
[train] steps=29350 upd=5800 sps=7.5 ups=1.5 wm=1.94 actor=-0.37 ep_r=-18.639999389648438 gate=0 stage=hover
[train] steps=29597 upd=5850 sps=7.5 ups=1.5 wm=1.81 actor=-0.39 ep_r=-20.600000381469727 gate=0 stage=hover
[train] steps=29855 upd=5900 sps=7.5 ups=1.5 wm=1.86 actor=-0.44 ep_r=-20.209999084472656 gate=0 stage=hover
[train] checkpoint -> artifacts/runs/dreamer_small_1784878651/ckpt_30020.pt
[train] steps=30095 upd=5950 sps=7.4 ups=1.5 wm=1.87 actor=-0.38 ep_r=-20.93000030517578 gate=0 stage=hover
[train] steps=30334 upd=6000 sps=7.4 ups=1.5 wm=1.84 actor=-0.42 ep_r=-18.139999389648438 gate=0 stage=hover
[train] steps=30611 upd=6050 sps=7.4 ups=1.5 wm=1.88 actor=-0.23 ep_r=-18.75 gate=0 stage=hover
[train] steps=30890 upd=6100 sps=7.4 ups=1.5 wm=1.81 actor=-0.26 ep_r=-20.059999465942383 gate=0 stage=hover
[train] steps=31124 upd=6150 sps=7.4 ups=1.5 wm=1.82 actor=-0.17 ep_r=-17.719999313354492 gate=0 stage=hover
[train] steps=31362 upd=6200 sps=7.4 ups=1.5 wm=1.83 actor=-0.18 ep_r=-19.040000915527344 gate=0 stage=hover
[train] steps=31643 upd=6250 sps=7.4 ups=1.5 wm=1.88 actor=-0.10 ep_r=-20.6299991607666 gate=0 stage=hover
[train] steps=31964 upd=6300 sps=7.5 ups=1.5 wm=1.92 actor=-0.09 ep_r=-21.860000610351562 gate=0 stage=hover
[train] steps=32259 upd=6350 sps=7.5 ups=1.5 wm=1.82 actor=0.01 ep_r=-19.0 gate=0 stage=hover
[train] steps=32522 upd=6400 sps=7.5 ups=1.5 wm=1.90 actor=0.12 ep_r=-20.75 gate=0 stage=hover
[train] steps=32822 upd=6450 sps=7.5 ups=1.5 wm=1.83 actor=0.01 ep_r=-18.540000915527344 gate=0 stage=hover
[train] steps=33079 upd=6500 sps=7.5 ups=1.5 wm=1.89 actor=-0.10 ep_r=-18.59000015258789 gate=0 stage=hover
[train] steps=33335 upd=6550 sps=7.5 ups=1.5 wm=1.89 actor=0.14 ep_r=-18.610000610351562 gate=0 stage=hover
[train] steps=33587 upd=6600 sps=7.5 ups=1.5 wm=1.85 actor=0.05 ep_r=-20.709999084472656 gate=0 stage=hover
[train] steps=33819 upd=6650 sps=7.5 ups=1.5 wm=1.87 actor=0.07 ep_r=-18.799999237060547 gate=0 stage=hover
[train] steps=34053 upd=6700 sps=7.5 ups=1.5 wm=1.73 actor=0.02 ep_r=-18.719999313354492 gate=0 stage=hover
[train] steps=34299 upd=6750 sps=7.5 ups=1.5 wm=1.91 actor=-0.04 ep_r=-18.719999313354492 gate=0 stage=hover
[train] steps=34553 upd=6800 sps=7.4 ups=1.5 wm=1.83 actor=-0.02 ep_r=-20.440000534057617 gate=0 stage=hover
[train] steps=34871 upd=6850 sps=7.5 ups=1.5 wm=1.90 actor=0.04 ep_r=-18.540000915527344 gate=0 stage=hover
[train] steps=35181 upd=6900 sps=7.5 ups=1.5 wm=1.81 actor=-0.02 ep_r=-20.540000915527344 gate=0 stage=hover
[train] steps=35464 upd=6950 sps=7.5 ups=1.5 wm=1.88 actor=0.07 ep_r=-17.799999237060547 gate=0 stage=hover
[train] steps=35749 upd=7000 sps=7.5 ups=1.5 wm=1.88 actor=0.04 ep_r=-19.09000015258789 gate=0 stage=hover
[train] steps=35972 upd=7050 sps=7.5 ups=1.5 wm=1.81 actor=0.01 ep_r=-20.299999237060547 gate=0 stage=hover
[train] steps=36204 upd=7100 sps=7.5 ups=1.5 wm=1.82 actor=-0.05 ep_r=-20.030000686645508 gate=0 stage=hover
[train] steps=36467 upd=7150 sps=7.5 ups=1.5 wm=1.83 actor=0.06 ep_r=-20.6299991607666 gate=0 stage=hover
[train] steps=36721 upd=7200 sps=7.5 ups=1.5 wm=1.82 actor=0.03 ep_r=-19.100000381469727 gate=0 stage=hover
[train] steps=36971 upd=7250 sps=7.5 ups=1.5 wm=1.86 actor=-0.05 ep_r=-20.219999313354492 gate=0 stage=hover
[train] steps=37215 upd=7300 sps=7.5 ups=1.5 wm=1.86 actor=0.11 ep_r=-18.420000076293945 gate=0 stage=hover
[train] steps=37468 upd=7350 sps=7.5 ups=1.5 wm=1.83 actor=-0.02 ep_r=-20.049999237060547 gate=0 stage=hover
[train] steps=37746 upd=7400 sps=7.5 ups=1.5 wm=1.78 actor=-0.02 ep_r=-19.469999313354492 gate=0 stage=hover
[train] steps=38048 upd=7450 sps=7.5 ups=1.5 wm=1.85 actor=0.02 ep_r=-19.520000457763672 gate=0 stage=hover
[train] steps=38407 upd=7500 sps=7.5 ups=1.5 wm=1.81 actor=-0.01 ep_r=-20.34000015258789 gate=0 stage=hover
[train] steps=38686 upd=7550 sps=7.5 ups=1.5 wm=1.83 actor=-0.02 ep_r=-18.729999542236328 gate=0 stage=hover
[train] steps=38926 upd=7600 sps=7.5 ups=1.5 wm=1.86 actor=0.01 ep_r=-20.479999542236328 gate=0 stage=hover
[train] steps=39185 upd=7650 sps=7.5 ups=1.5 wm=1.94 actor=0.01 ep_r=-18.0 gate=0 stage=hover
[train] steps=39459 upd=7700 sps=7.5 ups=1.5 wm=1.86 actor=-0.04 ep_r=-18.799999237060547 gate=0 stage=hover
[train] steps=39724 upd=7750 sps=7.5 ups=1.5 wm=1.91 actor=-0.05 ep_r=-18.309999465942383 gate=0 stage=hover
[train] steps=39968 upd=7800 sps=7.5 ups=1.5 wm=1.83 actor=-0.08 ep_r=-20.040000915527344 gate=0 stage=hover
[train] checkpoint -> artifacts/runs/dreamer_small_1784878651/ckpt_40020.pt
[train] steps=40237 upd=7850 sps=7.5 ups=1.5 wm=1.83 actor=-0.11 ep_r=-18.6200008392334 gate=0 stage=hover
[train] steps=40524 upd=7900 sps=7.5 ups=1.5 wm=1.82 actor=0.01 ep_r=-17.549999237060547 gate=0 stage=hover
[train] steps=40809 upd=7950 sps=7.5 ups=1.5 wm=1.80 actor=0.01 ep_r=-19.959999084472656 gate=0 stage=hover
[train] steps=41050 upd=8000 sps=7.5 ups=1.5 wm=1.69 actor=0.06 ep_r=-20.040000915527344 gate=0 stage=hover
[train] steps=41296 upd=8050 sps=7.5 ups=1.5 wm=1.86 actor=-0.01 ep_r=-18.989999771118164 gate=0 stage=hover
[train] steps=41599 upd=8100 sps=7.5 ups=1.5 wm=1.76 actor=0.05 ep_r=-20.530000686645508 gate=0 stage=hover
[train] steps=41841 upd=8150 sps=7.5 ups=1.5 wm=1.82 actor=-0.02 ep_r=-18.31999969482422 gate=0 stage=hover
[train] steps=42078 upd=8200 sps=7.5 ups=1.5 wm=1.82 actor=0.02 ep_r=-18.719999313354492 gate=0 stage=hover
[train] steps=42315 upd=8250 sps=7.5 ups=1.5 wm=1.75 actor=-0.00 ep_r=-18.770000457763672 gate=0 stage=hover
[train] steps=42546 upd=8300 sps=7.5 ups=1.5 wm=1.89 actor=-0.11 ep_r=-19.170000076293945 gate=0 stage=hover
[train] steps=42818 upd=8350 sps=7.5 ups=1.5 wm=1.74 actor=-0.08 ep_r=-18.549999237060547 gate=0 stage=hover
[train] steps=43026 upd=8400 sps=7.5 ups=1.5 wm=1.81 actor=-0.09 ep_r=-17.610000610351562 gate=0 stage=hover
[train] steps=43258 upd=8450 sps=7.5 ups=1.5 wm=1.78 actor=-0.14 ep_r=-18.579999923706055 gate=0 stage=hover
[train] steps=43486 upd=8500 sps=7.5 ups=1.5 wm=1.78 actor=-0.14 ep_r=-19.049999237060547 gate=0 stage=hover
[train] steps=43728 upd=8550 sps=7.5 ups=1.5 wm=1.75 actor=-0.17 ep_r=-19.139999389648438 gate=0 stage=hover
[train] steps=43953 upd=8600 sps=7.4 ups=1.5 wm=1.76 actor=-0.11 ep_r=-18.700000762939453 gate=0 stage=hover
[train] steps=44172 upd=8650 sps=7.4 ups=1.5 wm=1.77 actor=-0.16 ep_r=-20.190000534057617 gate=0 stage=hover
[train] steps=44404 upd=8700 sps=7.4 ups=1.5 wm=1.78 actor=-0.10 ep_r=-19.93000030517578 gate=0 stage=hover
[train] steps=44644 upd=8750 sps=7.4 ups=1.5 wm=1.85 actor=-0.07 ep_r=-19.90999984741211 gate=0 stage=hover
[train] steps=44868 upd=8800 sps=7.4 ups=1.5 wm=1.80 actor=-0.07 ep_r=-20.049999237060547 gate=0 stage=hover
[train] steps=45139 upd=8850 sps=7.4 ups=1.5 wm=1.65 actor=0.05 ep_r=-20.0 gate=0 stage=hover
[train] steps=45366 upd=8900 sps=7.4 ups=1.5 wm=1.84 actor=-0.02 ep_r=-20.15999984741211 gate=0 stage=hover
[train] steps=45610 upd=8950 sps=7.4 ups=1.5 wm=1.86 actor=-0.01 ep_r=-20.010000228881836 gate=0 stage=hover
[train] steps=45851 upd=9000 sps=7.4 ups=1.5 wm=1.82 actor=0.03 ep_r=-19.270000457763672 gate=0 stage=hover
