Waiting for heartbeat...
Connected to system: 1
Setting up MAVLink rx...
Setting up Timesync loop...
Setting up VIO state estimator...
Loading YOLO gate model...
YOLO gate model ready.
Setting up planner...
Logging run to logs/run_1785189749.jsonl (and logs/latest.jsonl, truncated each run)
Listening for camera frames...
Priming attitude-hold stream...
[vio] anchored gate 0 at (+10.5,+0.1,-1.6) yaw=+0deg
Sim mode map: ['ACRO', 'ALT_HOLD', 'AUTO', 'AUTOROTATE', 'AUTOTUNE', 'AUTO_RTL', 'AVOID_ADSB', 'BRAKE', 'CIRCLE', 'DRIFT', 'FLIP', 'FLOWHOLD', 'FOLLOW', 'GUIDED', 'GUIDED_NOGPS', 'LAND', 'LOITER', 'OF_LOITER', 'POSHOLD', 'POSITION', 'RTL', 'SMART_RTL', 'SPORT', 'STABILIZE', 'SYSTEMID', 'THROW', 'ZIGZAG']
Requested control mode: STABILIZE
Arming drone...
Starting control loop... (DRY_RUN=False)
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.79,-0.61,+0.10) att=(r-0.29,p+0.07,y-0.66) thr=0.27
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.79,-0.61,+0.10) att=(r-0.29,p+0.07,y-0.66) thr=0.27
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.79,-0.61,+0.10) att=(r-0.29,p+0.08,y-0.66) thr=0.27
[vio] gate 0 anchor rejected 17 fixes in a row — re-anchoring
[vio] anchored gate 0 at (+21.6,+3.0,+33.5) yaw=+41deg
[FLY] src=     pnp_track range= 10.6m vel_ned=(+1.30,+1.52,-0.38) att=(r-0.04,p-0.28,y+0.86) thr=0.41
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.65,+0.76,+0.10) att=(r-0.14,p-0.27,y+0.86) thr=0.28
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.65,+0.76,+0.10) att=(r-0.04,p-0.30,y+0.86) thr=0.28
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.65,+0.76,+0.10) att=(r-0.04,p-0.30,y+0.86) thr=0.28
[FLY] src=     pnp_coast range=  ?   vel_ned=(+0.65,+0.76,+0.10) att=(r-0.06,p-0.29,y+0.86) thr=0.28
